Weight [kg],Pressure Altitude [ft],Climb Speed Vy [KIAS],ROC @ -25째C,ROC @ 0째C,ROC @ 25째C,ROC @ 50째C,ROC @ ISA
650,S.L.,67,998,840,702,576,754
650,2000,67,896,758,633,523,667
650,4000,67,764,643,519,416,574
650,6000,67,646,498,386,295,481
650,8000,68,529,383,253,166,388
650,10000,68,412,269,141,42,295
650,12000,69,295,155,29,-84,202
650,14000,68,179,41,-82,-193,109
600,S.L.,66,1128,962,838,729,871
600,2000,66,1002,838,692,560,772
600,4000,67,876,715,571,460,673
600,6000,67,750,592,451,323,574
600,8000,67,625,469,331,206,474
600,10000,67,500,347,211,88,375
600,12000,67,375,225,92,-29,276
600,14000,68,250,104,-27,-145,177
550,S.L.,65,1275,1096,936,792,998
550,2000,66,1125,963,806,664,892
550,4000,66,1003,830,676,536,785
550,6000,66,868,693,546,409,678
550,8000,67,733,566,417,282,572
550,10000,67,599,435,288,156,465
550,12000,67,465,304,160,30,358
550,14000,67,331,173,32,-95,252
