Pressure Altitude [ft],OAT ISA [Â°C],Propeller RPM,KTAS,Fuel Consumption [l/hr],Endurance [h:mm],Range [nm],Specific Range [nm/l]
0,15,2388,116,27.7,4:20,503,4.2
0,15,2250,109,25.8,4:37,507,4.2
0,15,2100,102,22.1,5:26,543,4.5
0,15,2000,94,20.6,5:36,543,4.8
0,15,1900,88,17.6,6:49,600,5.0
0,15,1800,82,15.5,7:30,613,5.3
2000,11,2250,106,25.8,4:28,507,4.2
2000,11,2100,99,22.1,5:04,518,4.3
2000,11,2000,93,18.8,5:44,568,4.7
2000,11,1900,86,17.1,6:44,593,5.0
2000,11,1800,81,15.5,7:45,627,5.2
4000,7,2250,106,23.9,5:00,532,4.4
4000,7,2100,98,20.0,6:00,588,4.9
4000,7,2000,91,18.1,6:38,616,5.1
4000,7,1900,86,16.5,7:16,626,5.2
4000,7,1800,79,15.2,7:54,624,5.2
6000,3,2250,105,22.5,5:00,526,4.6
6000,3,2100,97,19.2,6:15,606,5.1
6000,3,2000,90,17.4,6:21,604,5.2
6000,3,1900,85,16.1,7:27,643,5.3
6000,3,1800,80,15.2,7:48,652,5.3
8000,-1,2250,104,21.9,5:35,538,4.8
8000,-1,2100,96,18.5,6:23,611,5.3
8000,-1,2000,90,16.9,7:00,631,5.4
8000,-1,1900,84,15.5,7:39,642,5.4
8000,-1,1800,79,14.4,8:04,648,5.4
10000,-5,2250,102,20.6,5:42,587,5.0
10000,-5,2100,95,17.9,6:24,637,5.3
10000,-5,2000,90,16.7,6:54,659,5.3
10000,-5,1900,84,15.5,7:45,635,5.3
